fuente,baseline,feature,n_fuente,n_baseline,ks_D,ks_p,ks_D_submuestra,js_distance,wasserstein,wasserstein_norm,mediana_fuente,mediana_baseline
ours_gamer,baseline_interno,duration_s,4200,24354,0.19443177418787183,4.215151984787091e-119,0.198,0.34135739983956614,4.988262960802566,0.1655208060271189,0.0525575,0.048658999999999994
ours_gamer,baseline_interno,packets,4200,24354,0.2027426412792267,1.4691404063949356e-129,0.19845000000000002,0.3456366741608936,182.94139578127363,0.2683263109788214,2.0,2.0
ours_gamer,baseline_interno,bytes_payload,4200,24354,0.33689784019052316,0.0,0.33809999999999996,0.5407032403982194,110338.86817994117,0.22084505504669003,163.0,135.0
ours_gamer,baseline_interno,pkt_size_mean_payload,4200,24354,0.3793453114184822,0.0,0.38005,0.5587978275822993,229.12781085981769,0.7896226847182822,163.0,17.6
ours_gamer,baseline_interno,packets_per_s,4200,24354,0.249844672039794,1.7301660646942067e-197,0.2493,0.3784287297269543,79.95259001559975,0.04724013948843045,0.3625655,0.6666405
ours_gamer,baseline_interno,bytes_per_s_payload,4200,24354,0.12586879245415838,6.317073887833001e-50,0.13069999999999998,0.39072455187765764,20562.760408105194,0.09555610761665932,53.720138500000004,143.2089255
ours_gamer,baseline_interno,syn_count,4200,24354,0.2089998122924952,9.853733210002124e-138,0.20060000000000006,0.2225975380912144,0.4174584403852696,0.4605004203018982,0.0,0.0
ours_gamer,baseline_interno,psh_count,4200,24354,0.18945119018289747,4.731219542609896e-113,0.18165,0.309516165085336,2.7790462698998986,0.047504988531966295,0.0,0.0
ours_gamer,baseline_interno,ack_count,4200,24354,0.37031405811893614,0.0,0.36689999999999995,0.42343340028773957,15.041450685719173,0.06768877040085915,0.0,1.0
ours_gamer,baseline_interno,fin_count,4200,24354,0.19835914311524072,5.48842073474492e-124,0.19600000000000006,0.22928362127343863,0.38423831814075715,0.4461028015722693,0.0,0.0
ours_gamer,baseline_interno,rst_count,4200,24354,0.006703504264479965,0.9967705801197324,0.008450000000000003,0.0,0.006703504264479965,0.031182416873129233,0.0,0.0
ours_gamer,baseline_interno,dst_port,4200,24354,0.5353263764239374,0.0,0.53115,0.5959897334884527,10437.40247439552,0.9029901690155274,10002.0,53.0
ours_gamer,baseline_script,duration_s,4200,4357,0.1504309430910303,1.1235235356326337e-42,0.16370000000000004,0.4262623693020812,9.96576401291846,0.3502830668241858,0.0525575,0.190174
ours_gamer,baseline_script,packets,4200,4357,0.03955965769369488,0.0023858967443412117,0.04764999999999998,0.1647563948828265,105.17119222488154,0.06942220369779627,2.0,2.0
ours_gamer,baseline_script,bytes_payload,4200,4357,0.3097758942916161,9.590804063547965e-182,0.3153500000000001,0.5140795828649122,95658.03395543018,0.06629992579907362,163.0,132.0
ours_gamer,baseline_script,pkt_size_mean_payload,4200,4357,0.313029771467917,1.2224957074545835e-185,0.3173,0.594194757027698,187.15094134496218,0.46332793312483805,163.0,48.647
ours_gamer,baseline_script,packets_per_s,4200,4357,0.1233156278347924,8.621628035775143e-29,0.13574999999999998,0.4533489806937136,79.60706476270657,0.09858769815664266,0.3625655,4.616369
ours_gamer,baseline_script,bytes_per_s_payload,4200,4357,0.20362022798561702,4.6914738027897355e-78,0.20139999999999994,0.46725214826428463,57332.935655621666,0.2852665607694305,53.720138500000004,152.392941
ours_gamer,baseline_script,syn_count,4200,4357,0.10529858902477676,4.238445148192486e-21,0.10594999999999999,0.1263053359448962,0.21140583844279037,0.2909533240664599,0.0,0.0
ours_gamer,baseline_script,psh_count,4200,4357,0.09214542553307759,2.963126185169184e-16,0.0924,0.1483341740598332,16.27900417500025,0.08935567057964368,0.0,0.0
ours_gamer,baseline_script,ack_count,4200,4357,0.1100265582478114,5.336775391698911e-23,0.1132,0.19098458763118453,104.82859891581113,0.10666968144852518,0.0,0.0
ours_gamer,baseline_script,fin_count,4200,4357,0.10388936249275933,1.5042409832618424e-20,0.10524999999999998,0.11857352014812568,0.16781501032820745,0.26180700022571796,0.0,0.0
ours_gamer,baseline_script,rst_count,4200,4357,0.04160464277517296,0.0011707917219413984,0.038849999999999926,0.0,0.04160464277517295,0.16993541770089537,0.0,0.0
ours_gamer,baseline_script,dst_port,4200,4357,0.39023328633725696,4.4854362813597684e-291,0.3909,0.5683846458109763,7897.332585494608,0.5407407260508892,10002.0,5355.0
ours_gamer,baseline_publico_ctu,duration_s,4200,2978,0.22715884742076817,2.722688088030954e-79,0.22410000000000002,0.4310232220845213,5.060643728489877,0.15327652802534522,0.0525575,0.0885465
ours_gamer,baseline_publico_ctu,packets,4200,2978,0.15152163484601364,2.319030876819728e-35,0.16099999999999998,0.27831482391357126,71.9786656113082,0.04551465857351897,2.0,2.0
ours_gamer,baseline_publico_ctu,bytes_payload,4200,2978,0.4060342511752854,1.688886998704963e-257,0.40785,0.7223597918166679,17635.264296267855,0.01482686544185899,163.0,138.0
ours_gamer,baseline_publico_ctu,pkt_size_mean_payload,4200,2978,0.44044293069813556,1.3860100913493629e-304,0.4415,0.7226161382849827,262.7538227759123,0.6725121312173938,163.0,80.0
ours_gamer,baseline_publico_ctu,packets_per_s,4200,2978,0.19073219482554607,6.852782080428596e-56,0.194,0.366248318595492,227.22301194783654,0.07087817787946406,0.3625655,6.6888505
ours_gamer,baseline_publico_ctu,bytes_per_s_payload,4200,2978,0.23352713550161502,8.1470906120503325e-84,0.2359,0.44035276668395906,6355.980113283628,0.1963150476166237,53.720138500000004,348.3714645
ours_gamer,baseline_publico_ctu,syn_count,4200,2978,0.044801080942786786,0.0017615610757368023,0.04795000000000004,0.18020332199572192,0.0796082381911799,0.12566935054784883,0.0,0.0
ours_gamer,baseline_publico_ctu,psh_count,4200,2978,0.043115865553743325,0.0029571142834313993,0.04234999999999999,0.08122221484631978,2.1633964949311006,0.057295431158730745,0.0,0.0
ours_gamer,baseline_publico_ctu,ack_count,4200,2978,0.05731795068598292,2.0191141083436333e-05,0.06004999999999999,0.10655354519031827,67.337613770827,0.10162113771452864,0.0,0.0
ours_gamer,baseline_publico_ctu,fin_count,4200,2978,0.052767757203620196,0.00011632531408920862,0.05590000000000002,0.07861756183838574,0.07347884486232381,0.1432590982140337,0.0,0.0
ours_gamer,baseline_publico_ctu,rst_count,4200,2978,0.020608270171735586,0.4422867654749095,0.02034999999999996,0.0,0.02060827017173561,0.09332331195478366,0.0,0.0
ours_gamer,baseline_publico_ctu,dst_port,4200,2978,0.3329960983721897,1.2306854906790778e-171,0.33254999999999996,0.7758879459997057,9209.415603792893,0.5155613070191918,10002.0,13690.0
ours_gamer,baseline_publico_ids2018,duration_s,4200,50000,0.3685676190476191,0.0,0.3696499999999999,0.700127984932487,5.776681167876189,0.1867373393955811,0.0525575,0.026545
